station,timestamp,aqi,rating_aqi,pm2.5,rating_pm2.5
THCS Thanh My Loi,"24 Nov 2021, 2:00 AM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 3:00 AM",59,AQI US - Trung bình,15.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 4:00 AM",55,AQI US - Trung bình,13.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 5:00 AM",86,AQI US - Trung bình,28.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 6:00 AM",82,AQI US - Trung bình,26.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 7:00 AM",67,AQI US - Trung bình,19.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 8:00 AM",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 9:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 10:00 AM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 11:00 AM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 12:00 PM",21,AQI US - Tốt,5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 1:00 PM",25,AQI US - Tốt,6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 2:00 PM",29,AQI US - Tốt,7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 3:00 PM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 4:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 5:00 PM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 6:00 PM",37,AQI US - Tốt,9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 7:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 8:00 PM",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 9:00 PM",65,AQI US - Trung bình,18.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 10:00 PM",67,AQI US - Trung bình,19.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"24 Nov 2021, 11:00 PM",67,AQI US - Trung bình,19.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 12:00 AM",69,AQI US - Trung bình,20.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 1:00 AM",69,AQI US - Trung bình,20.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 2:00 AM",71,AQI US - Trung bình,21.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 3:00 AM",78,AQI US - Trung bình,24.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 4:00 AM",59,AQI US - Trung bình,15.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 5:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 6:00 AM",49,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 7:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 8:00 AM",55,AQI US - Trung bình,14,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 9:00 AM",33,AQI US - Tốt,8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 10:00 AM",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"25 Nov 2021, 11:00 AM",49,AQI US - Tốt,12,PM2.5 µg/m³ - Tốt
